tag_id,bnd1,bnd2
LON05E,-0.625,10.625
LON15E,10.625,20.625
LON25E,20.625,30.625
LON35E,30.625,40.625
LON45E,40.625,50.625
LON55E,50.625,60.625
LON65E,60.625,70.625
LON75E,70.625,80.625
LON85E,80.625,90.625
LON95E,90.625,100.625
LON105E,100.625,110.625
LON115E,110.625,120.625
LON125E,120.625,130.625
LON135E,130.625,140.625
LON145E,140.625,150.625
LON155E,150.625,160.625
LON165E,160.625,170.625
LON175E,170.625,180.625
LON185E,180.625,190.625
LON195E,190.625,200.625
LON205E,200.625,209.375
LON215E,209.375,220.625
LON225E,220.625,230.625
LON235E,230.625,240.625
LON245E,240.625,249.375
LON255E,249.375,260.625
LON265E,260.625,270.625
LON275E,270.625,280.625
LON285E,280.625,290.625
LON295E,290.625,300.625
LON305E,300.625,310.625
LON315E,310.625,320.625
LON325E,320.625,329.375
LON335E,329.375,340.625
LON345E,340.625,350.625
LON355E,350.625,359.375
